Phase,Task ID,Task Name,Description,Category,Priority,Est. Days,Dependencies
4,OPS-10,Alerting setup,"Error-rate/latency alerts, UptimeRobot checks",DevOps,Medium,1,BE-06
4,SEC-01,Security audit,"QR token randomness, authz boundaries, webhook signature checks",Security,High,2,"BE-14,BE-13"
4,SEC-02,Basic vulnerability scan,Automated scan + manual review of public endpoints,Security,Medium,1,SEC-01
4,BE-31,Database index audit,"Verify indexes on qr_code_token, event_id, organizer_id",Backend,High,1,BE-02
4,OPS-11,Backup & restore drill,Test Postgres backup/restore procedure end-to-end,DevOps,High,1,INF-05
5,FE-18,Platform admin panel,"Multi-organizer oversight, onboarding, platform health",Frontend,Medium,3,BE-07
5,BE-32,Promo/discount code system,Codes for marketing campaigns and group bookings,Backend,Low,2,BE-11
5,FE-19,Reserved seating map,Visual seat picking for auditorium-style events,Frontend,Low,4,BE-09
5,BE-33,Volunteer-scanner-only accounts,Special limited login scoped only to check-in scanning,Backend,Low,1,BE-24
5,FE-20,Cross-event analytics dashboard,Aggregated reporting across events/organizers,Frontend,Low,3,BE-10
5,OPS-12,Move Postgres to managed DB,Migrate to RDS/managed Postgres when scale requires it,DevOps,Medium,2,BE-02
5,OPS-13,Add second app server + load balancer,Horizontal scale-out once single-VPS limits are hit,DevOps,Medium,2,OPS-12
5,OPS-14,Read replica for reporting,Offload dashboard/report queries from primary DB,DevOps,Low,2,OPS-12
